A_AlbumID,A_AlbumName,A_Duration,A_NumberofSongs,A_ArtistID,A_ReleaseDate
101,Appetite for Destruction,0:42:30,10,201,1987-05-15
102,Thriller,0:38:00,9,202,1983-11-12
103,Imagine,0:36:12,11,203,1979-07-30
104,A Night at the Opera,0:45:00,12,204,1985-03-25
105,What's Going On,0:40:18,8,205,1988-09-10
106,Hotel California,0:50:30,10,206,1980-06-22
107,Talking Book,0:35:00,7,207,1986-02-05
108,Led Zeppelin IV,0:55:12,13,208,1989-04-18
109,I Never Loved a Man the Way I Love You,0:41:00,9,209,1978-12-01
110,The Doors,0:47:18,11,210,1982-08-20
111,Fearless,0:53:15,13,211,2008-11-11
112,After Hours,0:56:11,14,212,2020-03-20
113,Night Visions,0:43:30,12,213,2012-09-04
114,Meteora,0:36:21,13,214,2003-03-25
115,The Diary of Alicia Keys,0:57:27,15,215,2003-12-02
